iucn_sid,year,rgn_cat_ts,rgn_cat_ts_score,iucn_rgn,iucn_version
30319,2011,EN,0.6,europe,2017-3
30319,2012,EN,0.6,europe,2017-3
30328,1998,EN,0.6,europe,2017-3
30328,2017,LC,0,europe,2017-3
30329,1998,VU,0.4,europe,2017-3
30329,1998,EN,0.6,europe,2017-3
30334,1998,VU,0.4,europe,2017-3
30334,2017,NT,0.2,europe,2017-3
30337,1998,CR,0.8,europe,2017-3
30337,1998,EN,0.6,europe,2017-3
30337,2011,CR,0.8,europe,2017-3
30338,1998,EN,0.6,europe,2017-3
30338,2017,LC,0,europe,2017-3
30394,2011,EN,0.6,europe,2017-3
30394,2017,EN,0.6,europe,2017-3
30478,2006,CR,0.8,europe,2017-3
30478,2011,CR,0.8,europe,2017-3
30478,2017,CR,0.8,europe,2017-3
31361,1998,CR,0.8,europe,2017-3
31361,2011,CR,0.8,europe,2017-3
34193,2013,NT,0.2,europe,2017-3
34193,2017,NT,0.2,europe,2017-3
34727,1998,VU,0.4,europe,2017-3
34727,2017,EN,0.6,europe,2017-3
34728,1998,VU,0.4,europe,2017-3
34728,2017,VU,0.4,europe,2017-3
34731,1998,VU,0.4,europe,2017-3
34731,2017,NT,0.2,europe,2017-3
34735,1998,VU,0.4,europe,2017-3
34735,2017,EN,0.6,europe,2017-3
37669,1998,VU,0.4,europe,2017-3
37669,2017,VU,0.4,europe,2017-3
38320,1998,NT,0.2,europe,2017-3
38320,2011,LC,0,europe,2017-3
38395,1998,LC,0,europe,2017-3
38395,2017,LC,0,europe,2017-3
38630,1978,VU,0.4,mediterranean,2017-3
38630,1998,NT,0.2,mediterranean,2017-3
39399,2015,NT,0.2,europe,2017-3
39399,2016,NT,0.2,europe,2017-3
39603,2003,LC,0,europe,2017-3
39603,2013,LC,0,europe,2017-3
41366,2004,LC,0,mediterranean,2017-3
41366,2016,LC,0,mediterranean,2017-3
41485,2008,LC,0,europe,2017-3
41485,2016,LC,0,europe,2017-3
41660,2008,LC,0,mediterranean,2017-3
41660,2016,LC,0,mediterranean,2017-3
42229,2012,LC,0,europe,2017-3
42229,2017,LC,0,europe,2017-3
42243,2012,LC,0,europe,2017-3
42243,2017,LC,0,europe,2017-3
42249,2012,LC,0,europe,2017-3
42249,2017,LC,0,europe,2017-3
42255,2014,LC,0,europe,2017-3
42255,2017,LC,0,europe,2017-3
42309,2014,LC,0,europe,2017-3
42309,2017,LC,0,europe,2017-3
42368,1998,LC,0,europe,2017-3
42368,2013,LC,0,europe,2017-3
42390,2014,LC,0,europe,2017-3
42390,2016,LC,0,europe,2017-3
42391,2013,LC,0,europe,2017-3
42391,2017,LC,0,europe,2017-3
42663,2008,LC,0,mediterranean,2017-3
42663,2015,LC,0,mediterranean,2017-3
42666,2004,LC,0,mediterranean,2017-3
42666,2016,LC,0,mediterranean,2017-3
42845,2007,VU,0.4,pan-africa,2017-3
