iucn_sid,iucn_rgn,years,cat_ts,scores,pop_trend_desc,calc_trend
22698084,global,"1994, 1996, 2000, 2004, 2006, 2007, 2008, 2010, 2012, 2016, 2018","VU, VU, VU, VU, VU, VU, EN, EN, EN, EN, EN","0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.6, 0.6, 0.6, 0.6, 0.6",decreasing,0.01089
22698088,global,"1994, 1996, 2000, 2004, 2006, 2008, 2010, 2012, 2016, 2018","EN, EN, EN, EN, EN, EN, EN, EN, EN, EN","0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6",increasing,0
22698092,global,"1994, 1996, 2000, 2004, 2007, 2008, 2010, 2012, 2016, 2018","EN, EN, EN, EN, EN, EN, EN, EN, EN, EN","0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6",decreasing,0
22698097,global,"1994, 1996, 2000, 2004, 2008, 2009, 2010, 2012, 2013, 2015, 2016, 2018","CR, CR, CR, CR, CR, CR, CR, CR, CR, CR, CR, CR","0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8",unknown,-0
22698102,global,"1994, 2000, 2004, 2008, 2009, 2012, 2016, 2018","LC, LC, LC, LC, LC, LC, LC, LC","0, 0, 0, 0, 0, 0, 0, 0",stable,0
22698106,global,"1994, 2000, 2004, 2008, 2009, 2012, 2016, 2018","LC, LC, LC, LC, LC, LC, LC, LC","0, 0, 0, 0, 0, 0, 0, 0",decreasing,0
22698114,global,"1994, 2000, 2004, 2008, 2009, 2012, 2016, 2018","LC, LC, LC, LC, LC, LC, LC, LC","0, 0, 0, 0, 0, 0, 0, 0",decreasing,0
22698119,global,"1994, 2000, 2004, 2008, 2009, 2012, 2016, 2018","LC, LC, LC, LC, LC, LC, LC, LC","0, 0, 0, 0, 0, 0, 0, 0",stable,0
22698124,global,"1994, 2000, 2004, 2008, 2009, 2012, 2016, 2018","LC, LC, LC, LC, LC, LC, LC, LC","0, 0, 0, 0, 0, 0, 0, 0",stable,0
22698128,global,"1994, 2000, 2004, 2008, 2009, 2012, 2016, 2018","LC, LC, LC, LC, LC, LC, LC, LC","0, 0, 0, 0, 0, 0, 0, 0",stable,0
