iucn_sid,iucn_rgn,pop_trend
133309,global,unknown
133310,global,decreasing
133311,global,decreasing
133312,global,decreasing
133313,global,decreasing
133314,global,decreasing
133315,global,decreasing
133316,global,unknown
133317,global,unknown
133318,global,decreasing
133319,global,decreasing
133320,global,decreasing
133321,global,decreasing
133322,global,decreasing
133323,global,unknown
133324,global,decreasing
133325,global,decreasing
133326,global,unknown
133327,global,decreasing
133328,global,unknown
133329,global,unknown
133330,global,unknown
133331,global,decreasing
133332,global,unknown
133333,global,decreasing
133334,global,decreasing
133335,global,unknown
133336,global,decreasing
133337,global,unknown
133338,global,decreasing
133339,global,unknown
133340,global,unknown
133341,global,decreasing
133342,global,decreasing
133343,global,decreasing
133344,global,unknown
133345,global,decreasing
133346,global,unknown
133347,global,unknown
133348,global,decreasing
133349,global,unknown
133350,global,decreasing
133351,global,unknown
133352,global,decreasing
133353,global,unknown
133354,global,unknown
133355,global,decreasing
133356,global,unknown
133357,global,unknown
133358,global,unknown
133359,global,decreasing
133360,global,unknown
133361,global,decreasing
133362,global,unknown
133363,global,unknown
133364,global,unknown
133365,global,decreasing
133366,global,unknown
133367,global,decreasing
133368,global,unknown
133369,global,decreasing
133370,global,unknown
133371,global,stable
133372,global,unknown
133373,global,decreasing
133374,global,decreasing
133375,global,decreasing
133376,global,unknown
133377,global,stable
133378,global,unknown
133379,global,unknown
133380,global,unknown
133381,global,stable
133382,global,unknown
133383,global,decreasing
133384,global,unknown
133385,global,decreasing
133386,global,unknown
133387,global,decreasing
133388,global,unknown
133389,global,stable
133390,global,unknown
133391,global,unknown
133392,global,decreasing
133393,global,decreasing
133394,global,decreasing
133395,global,stable
133396,global,decreasing
133397,global,unknown
133398,global,unknown
133399,global,unknown
133400,global,stable
133401,global,decreasing
133402,global,decreasing
133403,global,unknown
133404,global,decreasing
133405,global,decreasing
133406,global,unknown
133407,global,unknown
133408,global,unknown
133409,global,decreasing
133410,global,unknown
133411,global,unknown
133412,global,decreasing
133413,global,unknown
133414,global,decreasing
133415,global,decreasing
133416,global,decreasing
133417,global,decreasing
133418,global,unknown
133419,global,unknown
133420,global,decreasing
133421,global,unknown
133422,global,decreasing
133423,global,unknown
133424,global,decreasing
133425,global,stable
133426,global,decreasing
133427,global,decreasing
133428,global,unknown
133429,global,decreasing
133430,global,unknown
133431,global,unknown
133432,global,decreasing
133433,global,decreasing
133434,global,decreasing
133435,global,unknown
133436,global,unknown
133437,global,unknown
133438,global,decreasing
133439,global,unknown
133440,global,decreasing
133441,global,decreasing
133442,global,unknown
133443,global,decreasing
133444,global,unknown
133445,global,stable
133446,global,unknown
133447,global,unknown
133448,global,unknown
133449,global,decreasing
133450,global,decreasing
133451,global,decreasing
133452,global,decreasing
133453,global,unknown
133454,global,decreasing
133455,global,unknown
133456,global,unknown
133457,global,stable
133458,global,unknown
133459,global,unknown
133460,global,decreasing
133461,global,unknown
133462,global,decreasing
