iucn_sid,sciname,main_common_name,published_year,old_cat,criteria,cat,cat_score,iucn_version
163008,Lycoteuthis lorigera,NA,2014,LC,NA,LC,0,2019-2
163009,Macrotritopus scorpio,NA,2019,DD,NA,DD,NA,2019-2
163010,Paroctopus digueti,NA,2018,LC,NA,LC,0,2019-2
163011,Cirrothauma murrayi,NA,2014,DD,NA,DD,NA,2019-2
163012,Grimpoteuthis tuftsi,NA,2014,DD,NA,DD,NA,2019-2
163013,Muusoctopus sibiricus,NA,2018,DD,NA,DD,NA,2019-2
163014,Microeledone mangoldi,NA,2019,DD,NA,DD,NA,2019-2
163015,Octopus veligero,NA,2018,DD,NA,DD,NA,2019-2
163017,Heterololigo bleekeri,Spear Squid,2019,LC,NA,LC,0,2019-2
163018,Macrochlaena winckworthi,Winckworth's octopus,2019,DD,NA,DD,NA,2019-2
163019,Enoploteuthis galaxias,NA,2014,DD,NA,DD,NA,2019-2
163020,Doryteuthis plei,Tropical Arrow Squid,2019,LC,NA,LC,0,2019-2
163022,Grimpoteuthis meangensis,NA,2014,DD,NA,DD,NA,2019-2
163024,Abralia robsoni,NA,2014,DD,NA,DD,NA,2019-2
163025,Selenoteuthis scintillans,Moon Squid,2014,LC,NA,LC,0,2019-2
163026,Psychroteuthis glacialis,NA,2014,LC,NA,LC,0,2019-2
163027,Alloteuthis media,Midsize Squid,2019,DD,NA,DD,NA,2019-2
163028,Abralia redfieldi,NA,2014,LC,NA,LC,0,2019-2
163029,Argonauta nodosa,NA,2014,LC,NA,LC,0,2019-2
163030,Abralia grimpei,NA,2014,DD,NA,DD,NA,2019-2
163031,Octopus hattai,NA,2018,DD,NA,DD,NA,2019-2
163032,Callistoctopus alpheus,NA,2018,LC,NA,LC,0,2019-2
163033,Chiroteuthis mega,NA,2014,LC,NA,LC,0,2019-2
163034,Graneledone gonzalezi,NA,2018,DD,NA,DD,NA,2019-2
163035,Abraliopsis lineata,NA,2014,LC,NA,LC,0,2019-2
163036,Abdopus abaculus,NA,2018,DD,NA,DD,NA,2019-2
163037,Abralia astrolineata,NA,2014,DD,NA,DD,NA,2019-2
163038,Abralia armata,NA,2014,DD,NA,DD,NA,2019-2
163040,Octopus penicillifer,NA,2018,DD,NA,DD,NA,2019-2
163041,Loliolus beka,Beka Squid,2019,DD,NA,DD,NA,2019-2
163042,Cirroteuthis muelleri,NA,2014,LC,NA,LC,0,2019-2
163045,Uroteuthis chinensis,Mitre Squid,2019,DD,NA,DD,NA,2019-2
163047,Eledone massyae,Combed Octopus,2018,LC,NA,LC,0,2019-2
163048,Bentheledone albida,NA,2018,DD,NA,DD,NA,2019-2
163049,Uroteuthis pickfordi,Flores Island Squid,2019,DD,NA,DD,NA,2019-2
163050,Ancistrocheirus lesueuri,NA,2014,LC,NA,LC,0,2019-2
163051,Nematolampas regalis,NA,2014,DD,NA,DD,NA,2019-2
163052,Abraliopsis morisi,NA,2014,LC,NA,LC,0,2019-2
163053,Muusoctopus berryi,NA,2018,DD,NA,DD,NA,2019-2
163054,Opisthoteuthis depressa,NA,2014,DD,NA,DD,NA,2019-2
163055,Octopus cyanea,NA,2018,LC,NA,LC,0,2019-2
163056,Histioteuthis oceani,NA,2014,LC,NA,LC,0,2019-2
163057,Callistoctopus graptus,NA,2018,LC,NA,LC,0,2019-2
163058,Lolliguncula argus,Argus Brief Squid,2019,DD,NA,DD,NA,2019-2
163059,Nototodarus sloanii,NA,2014,LC,NA,LC,0,2019-2
163060,Muusoctopus robustus,NA,2018,LC,NA,LC,0,2019-2
163061,Galeoctopus lateralis,NA,2018,LC,NA,LC,0,2019-2
163063,Abraliopsis hoylei,NA,2014,DD,NA,DD,NA,2019-2
163064,Onychoteuthis meridiopacifica,NA,2014,DD,NA,DD,NA,2019-2
163065,Opisthoteuthis californiana,NA,2014,DD,NA,DD,NA,2019-2
163066,Tremoctopus robsoni,NA,2014,LC,NA,LC,0,2019-2
163067,Sandalops melancholicus,Sandal-eye Squid,2014,DD,NA,DD,NA,2019-2
163068,Gonatopsis octopedatus,NA,2014,LC,NA,LC,0,2019-2
163069,Octopus mercatoris,NA,2018,DD,NA,DD,NA,2019-2
163070,Lycoteuthis springeri,NA,2014,DD,NA,DD,NA,2019-2
163071,Ornithoteuthis volatilis,NA,2014,LC,NA,LC,0,2019-2
163072,Octopus berrima,NA,2018,LC,NA,LC,0,2019-2
163073,Histioteuthis bonnellii,NA,2014,LC,NA,LC,0,2019-2
163074,Opisthoteuthis bruuni,NA,2014,DD,NA,DD,NA,2019-2
163075,Ocythoe tuberculata,NA,2014,LC,NA,LC,0,2019-2
163076,Pteroctopus tetracirrhus,Fourhorn Octopus,2018,LC,NA,LC,0,2019-2
163077,Amphitretus thielei,NA,2014,LC,NA,LC,0,2019-2
163078,Callistoctopus luteus,NA,2018,LC,NA,LC,0,2019-2
163079,Mastigoteuthis atlantica,NA,2014,DD,NA,DD,NA,2019-2
163080,Argonauta argo,NA,2014,LC,NA,LC,0,2019-2
163081,Lolliguncula brevis,Thumbstall Squid,2019,DD,NA,DD,NA,2019-2
163082,Tremoctopus gelatus,Gelatinous Blanket Octopus,2014,LC,NA,LC,0,2019-2
163083,Argonauta nouryi,NA,2014,LC,NA,LC,0,2019-2
163084,Robsonella fontanianus,NA,2018,LC,NA,LC,0,2019-2
163085,Nototodarus hawaiiensis,NA,2014,LC,NA,LC,0,2019-2
163086,Octopoteuthis megaptera,NA,2014,DD,NA,DD,NA,2019-2
163087,Amphioctopus robsoni,NA,2018,DD,NA,DD,NA,2019-2
163088,Leachia pacifica,NA,2014,DD,NA,DD,NA,2019-2
163089,Pyroteuthis addolux,NA,2014,LC,NA,LC,0,2019-2
163090,Grimpoteuthis plena,NA,2014,DD,NA,DD,NA,2019-2
163091,Octopus parvus,NA,2018,DD,NA,DD,NA,2019-2
163092,Octopus favonius,NA,2018,DD,NA,DD,NA,2019-2
163094,Abraliopsis felis,NA,2014,LC,NA,LC,0,2019-2
163095,Brachioteuthis riisei,NA,2014,DD,NA,DD,NA,2019-2
163096,Enoploteuthis jonesi,NA,2014,LC,NA,LC,0,2019-2
163097,Loliolus hardwickei,Little Indian Squid,2019,DD,NA,DD,NA,2019-2
163098,Octopus alecto,NA,2018,LC,NA,LC,0,2019-2
163099,Octopus balboai,NA,2018,DD,NA,DD,NA,2019-2
163100,Octopus argus,NA,2018,DD,NA,DD,NA,2019-2
163101,Brachioteuthis beanii,NA,2014,LC,NA,LC,0,2019-2
163102,Ancistroteuthis lichtensteini,NA,2014,LC,NA,LC,0,2019-2
163103,Cistopus indicus,NA,2018,LC,NA,LC,0,2019-2
163106,Grimpoteuthis megaptera,NA,2014,DD,NA,DD,NA,2019-2
163107,Bathypolypus sponsalis,NA,2018,LC,NA,LC,0,2019-2
163108,Batoteuthis skolops,Bush-club Squid,2014,LC,NA,LC,0,2019-2
163109,Octopus chierchiae,NA,2018,DD,NA,DD,NA,2019-2
163110,Enoploteuthis octolineata,NA,2014,DD,NA,DD,NA,2019-2
163111,Teretoctopus indicus,NA,2018,DD,NA,DD,NA,2019-2
163112,Asperoteuthis acanthoderma,NA,2014,LC,NA,LC,0,2019-2
163113,Octopus pyrum,NA,2018,DD,NA,DD,NA,2019-2
163114,Abralia veranyi,NA,2014,LC,NA,LC,0,2019-2
163115,Uroteuthis bartschi,Bartsch's Squid,2019,DD,NA,DD,NA,2019-2
163117,Cirroctopus antarctica,NA,2014,LC,NA,LC,0,2019-2
163118,Liocranchia valdiviae,NA,2014,LC,NA,LC,0,2019-2
163119,Enteroctopus californicus,North Pacific Bigeye Octopus,2018,LC,NA,LC,0,2019-2
163121,Grimpoteuthis pacifica,NA,2014,DD,NA,DD,NA,2019-2
163122,Uroteuthis abulati,Red Sea Squid,2019,DD,NA,DD,NA,2019-2
163124,Graneledone macrotyla,NA,2018,LC,NA,LC,0,2019-2
163125,Argonauta cornuta,NA,2014,DD,NA,DD,NA,2019-2
163126,Octopus mernoo,NA,2018,DD,NA,DD,NA,2019-2
163127,Vulcanoctopus hydrothermalis,NA,2018,LC,NA,LC,0,2019-2
163128,Graneledone antarctica,NA,2018,LC,NA,LC,0,2019-2
163129,Nototodarus gouldi,NA,2014,LC,NA,LC,0,2019-2
163130,Scaergus patagiatus,NA,2018,DD,NA,DD,NA,2019-2
163131,Onykia ingens,Greater Hooked Squid,2014,LC,NA,LC,0,2019-2
163132,Mastigoteuthis pyrodes,NA,2014,DD,NA,DD,NA,2019-2
163133,Octopus gardineri,NA,2018,DD,NA,DD,NA,2019-2
163134,Abralia renschi,NA,2014,DD,NA,DD,NA,2019-2
163135,Muusoctopus tangaroa,NA,2018,LC,NA,LC,0,2019-2
163137,Muusoctopus yaquinae,NA,2018,LC,NA,LC,0,2019-2
163138,Callistoctopus aspilosomatis,NA,2018,LC,NA,LC,0,2019-2
163139,Doryteuthis gahi,Patagonian Longfin Squid,2019,LC,NA,LC,0,2019-2
163140,Muusoctopus januarii,NA,2018,LC,NA,LC,0,2019-2
163141,Opisthoteuthis massyae,NA,2014,VU,A2b,VU,0.4,2019-2
163142,Abralia multihamata,NA,2014,DD,NA,DD,NA,2019-2
163143,Leachia danae,NA,2014,LC,NA,LC,0,2019-2
163144,Opisthoteuthis chathamensis,NA,2014,CR,A2b,CR,0.8,2019-2
163145,Octopus rubescens,NA,2018,LC,NA,LC,0,2019-2
163146,Watasenia scintillans,Japanese Firefly Squid,2014,LC,NA,LC,0,2019-2
163147,Octopus bimaculatus,NA,2018,LC,NA,LC,0,2019-2
163148,Uroteuthis noctiluca,Luminous Bay Squid,2019,DD,NA,DD,NA,2019-2
163149,Bathypolypus pugniger,NA,2018,LC,NA,LC,0,2019-2
163150,Muusoctopus tegginmathae,NA,2018,LC,NA,LC,0,2019-2
163152,Sthenoteuthis oualaniensis,NA,2014,LC,NA,LC,0,2019-2
163155,Stigmatoteuthis arcturi,NA,2014,LC,NA,LC,0,2019-2
163156,Galiteuthis armata,NA,2014,LC,NA,LC,0,2019-2
163157,Abralia siedleckyi,NA,2014,DD,NA,DD,NA,2019-2
163159,Graneledone verrucosa,NA,2018,LC,NA,LC,0,2019-2
163160,Mastigoteuthis dentata,NA,2014,DD,NA,DD,NA,2019-2
