iucn_sid,pop_trend,iucn_version,iucn_rgn
133063,unknown,2017-3,global
133065,unknown,2017-3,global
133066,decreasing,2017-3,global
133067,decreasing,2017-3,global
133068,decreasing,2017-3,global
133069,decreasing,2017-3,global
133070,decreasing,2017-3,global
133071,decreasing,2017-3,global
133074,decreasing,2017-3,global
133075,unknown,2017-3,global
133076,unknown,2017-3,global
133077,unknown,2017-3,global
133078,decreasing,2017-3,global
133079,decreasing,2017-3,global
133080,decreasing,2017-3,global
133081,decreasing,2017-3,global
133082,unknown,2017-3,global
133083,unknown,2017-3,global
133084,decreasing,2017-3,global
133085,stable,2017-3,global
133087,decreasing,2017-3,global
133088,decreasing,2017-3,global
133089,unknown,2017-3,global
133090,decreasing,2017-3,global
133091,unknown,2017-3,global
133094,stable,2017-3,global
133095,unknown,2017-3,global
133097,unknown,2017-3,global
133098,unknown,2017-3,global
133099,unknown,2017-3,global
133101,decreasing,2017-3,global
133102,decreasing,2017-3,global
133105,unknown,2017-3,global
133106,unknown,2017-3,global
133109,unknown,2017-3,global
133110,unknown,2017-3,global
133111,decreasing,2017-3,global
133112,decreasing,2017-3,global
133113,decreasing,2017-3,global
133114,unknown,2017-3,global
133115,decreasing,2017-3,global
133116,unknown,2017-3,global
133117,decreasing,2017-3,global
133120,decreasing,2017-3,global
133121,stable,2017-3,global
133124,stable,2017-3,global
133126,unknown,2017-3,global
133127,unknown,2017-3,global
133129,decreasing,2017-3,global
133131,decreasing,2017-3,global
133132,decreasing,2017-3,global
133133,decreasing,2017-3,global
133134,decreasing,2017-3,global
133135,stable,2017-3,global
133136,decreasing,2017-3,global
133137,decreasing,2017-3,global
133139,decreasing,2017-3,global
133140,stable,2017-3,global
133142,decreasing,2017-3,global
133144,stable,2017-3,global
133146,unknown,2017-3,global
133147,unknown,2017-3,global
133148,unknown,2017-3,global
133151,decreasing,2017-3,global
133152,unknown,2017-3,global
133155,stable,2017-3,global
133156,unknown,2017-3,global
133157,unknown,2017-3,global
133158,unknown,2017-3,global
133160,decreasing,2017-3,global
133161,decreasing,2017-3,global
133163,unknown,2017-3,global
133164,decreasing,2017-3,global
133165,unknown,2017-3,global
133166,unknown,2017-3,global
133167,decreasing,2017-3,global
133168,increasing,2017-3,global
133169,unknown,2017-3,global
133171,unknown,2017-3,global
133172,unknown,2017-3,global
133173,unknown,2017-3,global
133174,decreasing,2017-3,global
133175,decreasing,2017-3,global
133176,stable,2017-3,global
133177,unknown,2017-3,global
133178,decreasing,2017-3,global
133179,unknown,2017-3,global
133180,unknown,2017-3,global
133182,decreasing,2017-3,global
133183,unknown,2017-3,global
133185,decreasing,2017-3,global
133186,decreasing,2017-3,global
133188,decreasing,2017-3,global
133192,unknown,2017-3,global
