iucn_sid,sciname,lme_id,cat_score,cat_current,rgns,cat_score_global
22693133,Lymnocryptes minimus,25,0,LC,europe,0
22693133,Lymnocryptes minimus,26,0,LC,europe,0
22693133,Lymnocryptes minimus,59,0,LC,europe,0
22693150,Limosa limosa,20,0.4,VU,europe,0.2
22693150,Limosa limosa,21,0.4,VU,europe,0.2
22693150,Limosa limosa,22,0.4,VU,europe,0.2
22693150,Limosa limosa,23,0.4,VU,europe,0.2
22693150,Limosa limosa,24,0.4,VU,europe,0.2
22693150,Limosa limosa,25,0.4,VU,europe,0.2
22693150,Limosa limosa,26,0.4,VU,europe,0.2
22693150,Limosa limosa,59,0.4,VU,europe,0.2
22693158,Limosa lapponica,20,0,LC,europe,0.2
22693158,Limosa lapponica,21,0,LC,europe,0.2
22693158,Limosa lapponica,22,0,LC,europe,0.2
22693158,Limosa lapponica,23,0,LC,europe,0.2
22693158,Limosa lapponica,24,0,LC,europe,0.2
22693158,Limosa lapponica,25,0,LC,europe,0.2
22693158,Limosa lapponica,26,0,LC,europe,0.2
22693158,Limosa lapponica,59,0,LC,europe,0.2
22693178,Numenius phaeopus,20,0,LC,europe,0
22693178,Numenius phaeopus,21,0,LC,europe,0
22693178,Numenius phaeopus,22,0,LC,europe,0
22693178,Numenius phaeopus,23,0,LC,europe,0
22693178,Numenius phaeopus,24,0,LC,europe,0
22693178,Numenius phaeopus,25,0,LC,europe,0
22693178,Numenius phaeopus,26,0,LC,europe,0
22693178,Numenius phaeopus,59,0,LC,europe,0
22693185,Numenius tenuirostris,20,0.8,CR,europe,0.8
22693185,Numenius tenuirostris,21,0.8,CR,europe,0.8
22693185,Numenius tenuirostris,22,0.8,CR,europe,0.8
22693185,Numenius tenuirostris,23,0.8,CR,europe,0.8
22693185,Numenius tenuirostris,24,0.8,CR,europe,0.8
22693185,Numenius tenuirostris,25,0.8,CR,europe,0.8
22693185,Numenius tenuirostris,26,0.8,CR,europe,0.8
22693185,Numenius tenuirostris,59,0.8,CR,europe,0.8
22693190,Numenius arquata,20,0.4,VU,europe,0.2
22693190,Numenius arquata,21,0.4,VU,europe,0.2
22693190,Numenius arquata,22,0.4,VU,europe,0.2
22693190,Numenius arquata,23,0.4,VU,europe,0.2
22693190,Numenius arquata,24,0.4,VU,europe,0.2
22693190,Numenius arquata,25,0.4,VU,europe,0.2
22693190,Numenius arquata,26,0.4,VU,europe,0.2
22693190,Numenius arquata,59,0.4,VU,europe,0.2
22693207,Tringa erythropus,20,0,LC,europe,0
22693207,Tringa erythropus,21,0,LC,europe,0
22693207,Tringa erythropus,22,0,LC,europe,0
22693207,Tringa erythropus,23,0,LC,europe,0
22693207,Tringa erythropus,24,0,LC,europe,0
22693207,Tringa erythropus,25,0,LC,europe,0
22693207,Tringa erythropus,26,0,LC,europe,0
22693207,Tringa erythropus,59,0,LC,europe,0
22693211,Tringa totanus,20,0,LC,europe,0
22693211,Tringa totanus,21,0,LC,europe,0
22693211,Tringa totanus,22,0,LC,europe,0
22693211,Tringa totanus,23,0,LC,europe,0
22693211,Tringa totanus,24,0,LC,europe,0
22693211,Tringa totanus,25,0,LC,europe,0
22693211,Tringa totanus,26,0,LC,europe,0
22693211,Tringa totanus,59,0,LC,europe,0
22693216,Tringa stagnatilis,20,0,LC,europe,0
22693216,Tringa stagnatilis,21,0,LC,europe,0
22693216,Tringa stagnatilis,22,0,LC,europe,0
22693216,Tringa stagnatilis,23,0,LC,europe,0
22693216,Tringa stagnatilis,24,0,LC,europe,0
22693216,Tringa stagnatilis,25,0,LC,europe,0
22693216,Tringa stagnatilis,26,0,LC,europe,0
22693216,Tringa stagnatilis,59,0,LC,europe,0
22693220,Tringa nebularia,20,0,LC,europe,0
22693220,Tringa nebularia,21,0,LC,europe,0
22693220,Tringa nebularia,22,0,LC,europe,0
22693220,Tringa nebularia,23,0,LC,europe,0
22693220,Tringa nebularia,24,0,LC,europe,0
22693220,Tringa nebularia,25,0,LC,europe,0
22693220,Tringa nebularia,26,0,LC,europe,0
22693220,Tringa nebularia,59,0,LC,europe,0
22693251,Xenus cinereus,20,0,LC,europe,0
22693251,Xenus cinereus,21,0,LC,europe,0
22693251,Xenus cinereus,22,0,LC,europe,0
22693251,Xenus cinereus,23,0,LC,europe,0
22693251,Xenus cinereus,24,0,LC,europe,0
22693251,Xenus cinereus,25,0,LC,europe,0
22693251,Xenus cinereus,26,0,LC,europe,0
22693251,Xenus cinereus,59,0,LC,europe,0
22693264,Actitis hypoleucos,20,0,LC,europe,0
22693264,Actitis hypoleucos,21,0,LC,europe,0
22693264,Actitis hypoleucos,22,0,LC,europe,0
22693264,Actitis hypoleucos,23,0,LC,europe,0
22693264,Actitis hypoleucos,24,0,LC,europe,0
22693264,Actitis hypoleucos,25,0,LC,europe,0
22693264,Actitis hypoleucos,26,0,LC,europe,0
22693264,Actitis hypoleucos,59,0,LC,europe,0
22693336,Arenaria interpres,20,0,LC,europe,0
22693336,Arenaria interpres,21,0,LC,europe,0
22693336,Arenaria interpres,22,0,LC,europe,0
