iucn_sid,iucn_rgn,pop_trend,trend_score,trend_source
132899,global,decreasing,0.00626,regr
132900,global,unknown,NA,NA
132901,global,unknown,NA,NA
132903,global,unknown,0,lm
132904,global,unknown,0,lm
132905,global,unknown,NA,NA
132907,global,unknown,NA,NA
132909,global,decreasing,0.00626,regr
132910,global,decreasing,0.00626,regr
132911,global,unknown,0,lm
132913,global,decreasing,0.00626,regr
132916,global,unknown,0,lm
132917,global,unknown,0,lm
132922,global,decreasing,0,lm
132923,global,unknown,0,lm
132924,global,unknown,NA,NA
132925,global,unknown,0,lm
132927,global,unknown,NA,NA
132928,global,unknown,NA,NA
132929,global,unknown,NA,NA
132931,global,decreasing,0.00626,regr
132933,global,decreasing,0.00626,regr
132935,global,decreasing,0.00626,regr
132936,global,decreasing,0,lm
132937,global,unknown,NA,NA
132940,global,decreasing,0,lm
132942,global,decreasing,0.00626,regr
132944,global,decreasing,0.00626,regr
132947,global,unknown,NA,NA
132948,global,decreasing,0,lm
132953,global,unknown,NA,NA
132956,global,unknown,0,lm
132957,global,unknown,NA,NA
132958,global,unknown,0,lm
132960,global,unknown,0,lm
132962,global,unknown,NA,NA
132963,global,stable,0,regr
132967,global,unknown,NA,NA
132968,global,unknown,NA,NA
132969,global,decreasing,0,lm
132970,global,decreasing,0.00626,regr
132972,global,decreasing,0.00626,regr
132974,global,unknown,NA,NA
132975,global,unknown,0,lm
132976,global,decreasing,0,lm
132978,global,decreasing,0,lm
132979,global,decreasing,0.00626,regr
132980,global,decreasing,0,lm
132981,global,decreasing,0.00626,regr
132983,global,decreasing,0,lm
132984,global,decreasing,0.00626,regr
132985,global,unknown,NA,NA
132986,global,unknown,0,lm
132987,global,decreasing,0.00626,regr
132988,global,decreasing,0.00626,regr
132990,global,decreasing,0.00626,regr
132991,global,unknown,NA,NA
132992,global,decreasing,0,lm
132993,global,unknown,NA,NA
132995,global,unknown,NA,NA
132996,global,unknown,NA,NA
132997,global,decreasing,0,lm
132998,global,decreasing,0,lm
133001,global,unknown,0,lm
133002,global,stable,0,regr
133003,global,decreasing,0.00626,regr
133006,global,stable,0,regr
133008,global,unknown,0,lm
133009,global,decreasing,0.00626,regr
133010,global,decreasing,0.00626,regr
133011,global,unknown,NA,NA
133012,global,decreasing,0.00626,regr
133013,global,decreasing,0,lm
133015,global,decreasing,0.00626,regr
133016,global,unknown,0,lm
133019,global,unknown,NA,NA
133020,global,decreasing,0,lm
133021,global,decreasing,0,lm
133023,global,unknown,0,lm
133024,global,unknown,0,lm
133025,global,decreasing,0,lm
133026,global,unknown,NA,NA
133027,global,stable,0,regr
133028,global,unknown,0,lm
133029,global,decreasing,0,lm
133031,global,decreasing,0.00626,regr
133032,global,unknown,NA,NA
133033,global,decreasing,0.00626,regr
133034,global,unknown,NA,NA
133038,global,unknown,0,lm
133039,global,unknown,NA,NA
133041,global,unknown,0,lm
133042,global,stable,0,regr
133043,global,unknown,0,lm
133044,global,unknown,0,lm
133045,global,unknown,0,lm
133046,global,decreasing,0,lm
133047,global,stable,0,regr
133048,global,decreasing,0.00626,regr
133049,global,unknown,0,lm
133053,global,unknown,NA,NA
133054,global,unknown,0,lm
133055,global,decreasing,0,lm
133056,global,decreasing,0.00626,regr
133057,global,unknown,NA,NA
133058,global,unknown,0,lm
133059,global,decreasing,0.00626,regr
133060,global,decreasing,0.00626,regr
133062,global,unknown,NA,NA
133063,global,unknown,0,lm
133065,global,unknown,NA,NA
133066,global,decreasing,0,lm
133067,global,decreasing,0.00626,regr
133068,global,decreasing,0.00626,regr
133069,global,decreasing,0.00626,regr
133070,global,decreasing,0,lm
133071,global,decreasing,0,lm
133074,global,decreasing,0.00626,regr
133075,global,unknown,NA,NA
133076,global,unknown,0,lm
133077,global,unknown,NA,NA
133078,global,decreasing,0.00626,regr
133079,global,decreasing,0.00626,regr
133080,global,decreasing,0.00626,regr
133081,global,decreasing,0.00626,regr
133082,global,unknown,0,lm
133083,global,unknown,0,lm
133084,global,decreasing,0,lm
133085,global,stable,0,regr
133087,global,decreasing,0,lm
133088,global,decreasing,0,lm
133089,global,unknown,NA,NA
133090,global,decreasing,0,lm
133091,global,unknown,0,lm
133094,global,stable,0,regr
133095,global,unknown,0,lm
133097,global,unknown,0,lm
133098,global,unknown,0,lm
133099,global,unknown,0,lm
133101,global,decreasing,0.00626,regr
133102,global,decreasing,0.00626,regr
133105,global,unknown,0,lm
133106,global,unknown,0,lm
133109,global,unknown,NA,NA
133110,global,unknown,NA,NA
133111,global,decreasing,0.00626,regr
133112,global,decreasing,0.00626,regr
133113,global,decreasing,0.00626,regr
133114,global,unknown,NA,NA
133115,global,decreasing,0.00626,regr
133116,global,unknown,0,lm
133117,global,decreasing,0,lm
133120,global,decreasing,0.00626,regr
133121,global,stable,0,regr
133124,global,stable,0,regr
133126,global,unknown,NA,NA
133127,global,unknown,0,lm
133129,global,decreasing,0.00626,regr
133131,global,decreasing,0.00626,regr
133132,global,decreasing,0,lm
133133,global,decreasing,0.00626,regr
133134,global,decreasing,0.00626,regr
133135,global,stable,0,regr
133136,global,decreasing,0,lm
133137,global,decreasing,0,lm
133139,global,decreasing,0,lm
133140,global,stable,0,lm
133142,global,decreasing,0.00626,regr
133144,global,stable,0,regr
133146,global,unknown,NA,NA
133147,global,unknown,NA,NA
133148,global,unknown,0,lm
133151,global,decreasing,0.00626,regr
133152,global,unknown,NA,NA
133155,global,stable,0,regr
133156,global,unknown,0,lm
133157,global,unknown,NA,NA
133158,global,unknown,0,lm
133160,global,decreasing,0.00626,regr
133161,global,decreasing,0.00626,regr
133163,global,unknown,NA,NA
133164,global,decreasing,0.00626,regr
133165,global,unknown,NA,NA
133166,global,unknown,0,lm
133167,global,decreasing,0,lm
133168,global,increasing,-0.00626,regr
133169,global,unknown,NA,NA
133171,global,unknown,0,lm
133172,global,unknown,0,lm
133173,global,unknown,NA,NA
133174,global,decreasing,0.00626,regr
133175,global,decreasing,0,lm
133176,global,stable,0,regr
133177,global,unknown,NA,NA
133178,global,decreasing,0.00626,regr
133179,global,unknown,NA,NA
133180,global,unknown,NA,NA
133182,global,decreasing,0.00626,regr
133183,global,unknown,0,lm
133185,global,decreasing,0.00626,regr
133186,global,decreasing,0,lm
133188,global,decreasing,0.00626,regr
133192,global,unknown,0,lm
133193,global,decreasing,0.00626,regr
133194,global,decreasing,0.00626,regr
133196,global,decreasing,0.00626,regr
133197,global,unknown,0,lm
133198,global,unknown,0,lm
133200,global,decreasing,0,lm
133201,global,unknown,0,lm
133203,global,decreasing,0,lm
133206,global,decreasing,0.00626,regr
133207,global,decreasing,0.00626,regr
133208,global,unknown,0,lm
133209,global,decreasing,0,lm
133210,global,decreasing,0.00626,regr
133212,global,stable,0,regr
133213,global,unknown,NA,NA
133215,global,unknown,0,lm
133216,global,unknown,0,lm
133218,global,unknown,NA,NA
133219,global,unknown,NA,NA
133220,global,decreasing,0,lm
133222,global,unknown,0,lm
133223,global,decreasing,0.00626,regr
133224,global,stable,0,regr
133225,global,unknown,NA,NA
