iucn_sid,sciname
34023,Sequoiadendron giganteum
34051,Sequoia sempervirens
42544,Sundacarpus amarus
31255,Taiwania cryptomerioides
42261,Taxodium distichum
34029,Taxodium mucronatum
42546,Taxus baccata
34041,Taxus brevifolia
42547,Taxus canadensis
42548,Taxus chinensis
39147,Taxus contorta
42549,Taxus cuspidata
191657,Taxus cuspidata var. cuspidata
191658,Taxus cuspidata var. nana
30965,Taxus floridana
30724,Taxus globosa
191659,Taxus mairei
46171879,Taxus wallichiana
30318,Tetraclinis articulata
31245,Thuja koraiensis
42262,Thuja occidentalis
42263,Thuja plicata
42264,Thuja standishii
32378,Thuja sutchuenensis
42265,Thujopsis dolabrata
191660,Thujopsis dolabrata var. dolabrata
191661,Thujopsis dolabrata var. hondae
34026,Torreya californica
191877,Torreya fargesii
39148,Torreya fargesii var. fargesii
44050,Torreya fargesii var. yunnanensis
191881,Torreya grandis
191882,Torreya grandis var. grandis
191883,Torreya grandis var. jiulongshanensis
32379,Torreya jackii
42552,Torreya nucifera
30968,Torreya taxifolia
42431,Tsuga canadensis
34200,Tsuga caroliniana
42432,Tsuga chinensis
191662,Tsuga chinensis var. chinensis
39604,Tsuga chinensis var. oblongisquamata
39605,Tsuga chinensis var. robusta
42433,Tsuga diversifolia
42434,Tsuga dumosa
32457,Tsuga forrestii
42435,Tsuga heterophylla
42436,Tsuga mertensiana
34201,Tsuga mertensiana ssp. grandicona
191663,Tsuga sieboldii
30365,Widdringtonia cedarbergensis
63557,Widdringtonia nodiflora
34147,Widdringtonia schwarzii
33216,Widdringtonia whytei
34926,Wollemia nobilis
44029,Xanthocyparis nootkatensis
44028,Xanthocyparis vietnamensis
46583,Alligator mississippiensis
867,Alligator sinensis
46584,Caiman crocodilus
46585,Caiman latirostris
46586,Caiman yacare
5659,Crocodylus acutus
5661,Crocodylus intermedius
46589,Crocodylus johnstoni
5672,Crocodylus mindorensis
5663,Crocodylus moreletii
46590,Crocodylus niloticus
46591,Crocodylus novaeguineae
5667,Crocodylus palustris
5668,Crocodylus porosus
5670,Crocodylus rhombifer
5671,Crocodylus siamensis
8966,Gavialis gangeticus
5660,Mecistops cataphractus
13053,Melanosuchus niger
15635,Osteolaemus tetraspis
46587,Paleosuchus palpebrosus
46588,Paleosuchus trigonatus
21981,Tomistoma schlegelii
196013,Eptatretus alastairi
196014,Eptatretus astrolabium
196015,Eptatretus bischoffii
196016,Eptatretus burgeri
196017,Eptatretus caribbeaus
196018,Eptatretus carlhubbsi
154825,Eptatretus cirrhatus
196019,Eptatretus deani
196020,Eptatretus eos
196021,Eptatretus fernholmi
196022,Eptatretus fritzi
196023,Eptatretus goliath
196024,Eptatretus gomoni
196025,Eptatretus grouseri
196026,Eptatretus hexatrema
196027,Eptatretus indrambaryai
196028,Eptatretus lakeside
196029,Eptatretus laurahubbsae
196030,Eptatretus longipinnis
196031,Eptatretus lopheliae
196032,Eptatretus mcconnaugheyi
196033,Eptatretus mccoskeri
154797,Eptatretus mendozai
196034,Eptatretus menezesi
196035,Eptatretus minor
196036,Eptatretus multidens
196037,Eptatretus nanii
196038,Eptatretus octatrema
196039,Eptatretus okinoseanus
196040,Eptatretus polytrema
196041,Eptatretus profundus
196042,Eptatretus rubicundus
196043,Eptatretus sinus
196044,Eptatretus stoutii
196045,Eptatretus strahani
196046,Eptatretus strickrotti
196047,Eptatretus wisneri
196049,Myxine affinis
196050,Myxine australis
196051,Myxine capensis
196052,Myxine circifrons
196053,Myxine debueni
196054,Myxine fernholmi
196055,Myxine formosana
196056,Myxine garmani
196057,Myxine glutinosa
196058,Myxine hubbsi
196059,Myxine hubbsoides
196060,Myxine ios
196061,Myxine jespersenae
196062,Myxine knappi
196063,Myxine kuoi
196064,Myxine mccoskeri
196065,Myxine mcmillanae
196066,Myxine paucidens
196067,Myxine pequenoi
196068,Myxine robinsorum
196069,Myxine sotoi
196071,Nemamyxine elongata
196072,Nemamyxine kreffti
196074,Neomyxine biniplicata
196076,Notomyxine tridentiger
196078,Paramyxine ancon
196079,Paramyxine atami
196080,Paramyxine cheni
196081,Paramyxine chinensis
196082,Paramyxine fernholmi
196083,Paramyxine moki
196084,Paramyxine nelsoni
196085,Paramyxine sheni
196086,Paramyxine springeri
196087,Paramyxine taiwanae
196088,Paramyxine walkeri
155140,Paramyxine wayuu
196090,Paramyxine wisneri
196091,Paramyxine yangi
176756,Acalyptophis peronii
176764,Acrochordus arafurae
176769,Acrochordus granulatus
176718,Acrochordus javanicus
