iucn_sid,sciname,kingdom,phylum,class,order,family,main_common_name,published_year,old_cat,criteria,aoo_km2,eoo_km2,depth_upper,depth_lower,cat,cat_score
161376,Carcharhinus sorrah,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,CARCHARHINIDAE,Spottail Shark,2009,NT,NA,NA,NA,10,140,NT,0.2
161377,Rajella lintea,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Sailray,2009,LC,NA,NA,NA,196,1455,LC,0
161378,Carcharhinus acronotus,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,CARCHARHINIDAE,Blacknose Shark,2009,NT,NA,NA,NA,18,64,NT,0.2
161379,Sinobatis borneensis,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,ANACANTHOBATIDAE,Borneo Legskate,2009,LC,NA,NA,NA,475,835,LC,0
161381,Bathyraja minispinosa,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Whitebrow Skate,2015,LC,NA,NA,NA,150,1420,LC,0
161383,Neoraja iberica,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Iberian Pygmy Skate,2015,LC,NA,NA,NA,270,670,LC,0
161386,Bathytoshia lata,ANIMALIA,CHORDATA,CHONDRICHTHYES,MYLIOBATIFORMES,DASYATIDAE,Brown Stingray,2016,LC,NA,NA,NA,NA,NA,LC,0
161388,Etmopterus spinax,ANIMALIA,CHORDATA,CHONDRICHTHYES,SQUALIFORMES,ETMOPTERIDAE,Velvet Belly Lanternshark,2009,LC,NA,NA,NA,70,2e3,LC,0
161391,Rhinoraja murrayi,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Murray's Skate,2009,NT,NA,NA,NA,30,650,NT,0.2
161395,Triakis scyllium,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,TRIAKIDAE,Banded Houndshark,2009,LC,NA,NA,NA,NA,NA,LC,0
161398,Galeus melastomus,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Blackmouth Catshark,2009,LC,NA,NA,NA,55,2e3,LC,0
161399,Scyliorhinus canicula,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Small Spotted Catshark,2009,LC,NA,NA,NA,NA,NA,LC,0
161404,Squalus montalbani,ANIMALIA,CHORDATA,CHONDRICHTHYES,SQUALIFORMES,SQUALIDAE,Philippine Spurdog,2009,VU,A2bd+4bd,NA,NA,154,1370,VU,0.4
161408,Glaucostegus halavi,ANIMALIA,CHORDATA,CHONDRICHTHYES,RHINOPRISTIFORMES,GLAUCOSTEGIDAE,Halavi Guitarfish,2017,VU,A2d+3d,NA,NA,0,100,VU,0.4
161409,Rhinobatos irvinei,ANIMALIA,CHORDATA,CHONDRICHTHYES,RHINOPRISTIFORMES,RHINOBATIDAE,Spineback Guitarfish,2009,VU,A4bd,NA,NA,1,30,VU,0.4
