am_sid,area_km2_0pct,area_km2_60pct,area_km2_probwt
ITS-551602,7157530.63,4128677.8,4524106.517
ITS-551603,5406232.98,3648448.45,3858033.9204
ITS-551606,6157764.12,3877057.68,4208773.343
ITS-551609,10777079.59,6064546.6,6796654.1481
ITS-551610,11769641.17,9528256.09,9647813.1686
ITS-551617,8167424.47,5540474.35,5613408.1269
ITS-551620,3999769.88,1605474.4,2058546.626
ITS-551629,3106043.87,1861796.32,2059478.7324
ITS-551632,4825488.62,2674453.97,3019040.4993
ITS-551633,7510961.88,3249873.66,4224877.9051
ITS-551638,7867364.82,3654677.02,4305890.9932
ITS-551642,11770826.99,5049922.12,6280932.8786
ITS-551654,10970186.56,6831078.85,7212600.947
ITS-551657,25692454.36,14500805.99,16422143.7991
ITS-551658,4686268.31,2258284.29,2599510.7284
ITS-551659,12357757.28,9021792.61,9536851.5497
ITS-551660,10542407.95,6588037.81,7135593.8135
ITS-551661,276922,179136.79,186519.3204
ITS-551662,3653723.89,2042959.66,2241517.6168
ITS-551663,2837891.81,861988.49,1367917.2999
ITS-551664,1776596.76,588607.82,736943.328
ITS-551665,1815899.76,1392570.92,1396296.0931
ITS-551666,6361992.36,2151617.68,2956934.6713
ITS-551668,2045305.06,1463007.65,1532767.7777
ITS-551669,7324068.79,5098483.04,5192513.0822
ITS-551672,497911.55,299664,332205.1618
ITS-551673,14480743.24,11260285.1,11410137.7434
ITS-551678,881858.17,585145.91,616414.7198
ITS-551680,3296195.74,927941.88,1253148.221
ITS-551682,11135380.71,5227921.99,6177136.465
ITS-551684,12693492.22,7914063.36,8281447.469
ITS-551686,3967381.16,1517263.04,1892690.8725
ITS-551687,13525165.03,8501623.28,8870119.7222
ITS-551688,12023611.99,8832478.85,9101909.5911
ITS-551706,868027.74,608117.62,656440.685
ITS-551707,372371.38,263932.63,270517.4881
ITS-551709,5313484.53,2023407.99,2891029.3644
ITS-551710,7127426.61,4476888.85,4880709.3837
ITS-551711,829652.78,644891.73,670173.8944
ITS-551714,7212927.33,4277845.56,4492274.6746
ITS-551718,10906613.79,6367816,7023381.5707
ITS-551720,8747908.78,6052559.62,6220545.6047
ITS-551722,931960.23,255639.01,354102.292
ITS-551728,1156934.48,770158.81,813473.6017
ITS-551732,7366309.61,4670826.5,4999310.9187
ITS-551974,22099242.63,9072153.67,11146090.7761
ITS-551975,6809237.3,3882681.97,4277301.7446
ITS-551978,451686.13,406810.29,402763.9643
ITS-551981,106082291.2,84142007.77000001,86106164.23830001
ITS-551983,48498475.89,4974300.86,11692103.2639
ITS-551986,17884234.39,12628325.35,13352330.2215
ITS-551987,22543940.29,14316213.6,15639780.507
ITS-551988,1401034.05,504885.66000000003,710827.8293
ITS-551989,8568469.84,4682441.41,5366643.7759
ITS-551990,35832496.77,20033760.54,23213450.764
ITS-551992,1332911.76,748872.75,833024.7202
ITS-551993,4176165.82,3127798.21,3172018.0875
ITS-551997,2778004.14,993381.5,1554481.158
ITS-551999,957045.61,751635.37,780357.2778
ITS-552002,11178482.2,8234618.3,8416386.3003
ITS-552007,6746650.95,4239670.2,4523654.2699
ITS-552011,7060186.98,5170149.75,5390981.5979
ITS-552047,17043576.92,7751961.48,8955027.2476
ITS-552053,16167233.67,7652277.37,9028860.7357
ITS-552057,14269633.12,3254796.38,4846741.4217
ITS-552060,36598680.55,17096471.77,20599705.0529
