iucn_sid,sciname,main_common_name,cat,cat_score,published_year,iucn_version
69588014,Plectranthias fourmanoiri,Doublespot Perchlet,LC,0,2016,2018-1
69588682,Plectranthias helenae,NA,LC,0,2016,2018-1
69588709,Plectranthias inermis,Chequered Perchlet,LC,0,2016,2018-1
69588731,Plectranthias kamii,NA,LC,0,2016,2018-1
69588764,Plectranthias kelloggi,Eastern Flower Porgy,LC,0,2016,2018-1
69588828,Plectranthias longimanus,Longfin Perchlet,LC,0,2016,2018-1
69588900,Plectranthias megalophthalmus,Citron Perchlet,LC,0,2016,2018-1
69588906,Plectranthias nanus,Brownband Perchlet,LC,0,2016,2018-1
69588920,Plectranthias randalli,NA,LC,0,2016,2018-1
69588949,Plectranthias retrofasciatus,NA,LC,0,2016,2018-1
69588952,Plectranthias rubrifasciatus,NA,LC,0,2016,2018-1
69588988,Plectranthias taylori,NA,LC,0,2016,2018-1
69588992,Plectranthias winniensis,Redblotch Basslet,LC,0,2016,2018-1
69589013,Plectranthias yamakawai,NA,LC,0,2016,2018-1
69589017,Pogonoperca punctata,Bearded Soapfish,LC,0,2016,2018-1
69589036,Pseudanthias aurulentus,NA,LC,0,2016,2018-1
69589636,Pseudanthias bartlettorum,Bartlett's Anthias,LC,0,2016,2018-1
69590149,Pseudanthias bicolor,Bicolor Anthias,LC,0,2016,2018-1
69590390,Pseudanthias calloura,Aurora Anthias,LC,0,2016,2018-1
69590668,Pseudanthias cooperi,Red-bar Anthias,LC,0,2016,2018-1
69590742,Pseudanthias dispar,Peach Fairy Basslet,LC,0,2016,2018-1
69590801,Pseudanthias engelhardi,Orangebar Anthias,LC,0,2016,2018-1
69590820,Pseudanthias flavicauda,NA,LC,0,2016,2018-1
69590843,Pseudanthias flavoguttatus,Yellow-spotted Anthias,LC,0,2016,2018-1
69590885,Pseudanthias fucinus,NA,LC,0,2016,2018-1
69590936,Pseudanthias gibbosus,NA,LC,0,2016,2018-1
69590949,Pseudanthias hawaiiensis,NA,LC,0,2016,2018-1
69590965,Pseudanthias hiva,NA,LC,0,2016,2018-1
69590993,Pseudanthias huchtii,Red-cheeked Fairy Basslet,LC,0,2016,2018-1
69591007,Pseudanthias hypselosoma,Stocky Anthias,LC,0,2016,2018-1
69591014,Pseudanthias lori,Lori's Anthias,LC,0,2016,2018-1
69591045,Pseudanthias luzonensis,Yellowlined Anthias,LC,0,2016,2018-1
69591058,Pseudanthias mooreanus,NA,LC,0,2016,2018-1
69591446,Pseudanthias olivaceus,NA,LC,0,2016,2018-1
69591538,Pseudanthias parvirostris,Sunset Anthias,LC,0,2016,2018-1
69591554,Pseudanthias pascalus,Amethyst Anthias,LC,0,2016,2018-1
69591645,Pseudanthias privitera,NA,LC,0,2016,2018-1
69591683,Pseudanthias randalli,Randall's Fairy Basslet,LC,0,2016,2018-1
69591708,Pseudanthias rubrizonatus,Red-belted Anthias,LC,0,2016,2018-1
69591715,Pseudanthias rubrolineatus,NA,LC,0,2016,2018-1
69591773,Pseudanthias smithvanizi,Princess Anthias,LC,0,2016,2018-1
69591800,Pseudanthias squamipinnis,Sea Goldie,LC,0,2016,2018-1
69591811,Pseudanthias thompsoni,Hawaiian Anthias,LC,0,2016,2018-1
69591878,Pseudanthias tuka,Yellowstriped Fairy Basslet,LC,0,2016,2018-1
