iucn_sid,pop_trend,year,old_cat,cat_txt,param_id,api_error,cat_ts,cat_score,cat_ts_score,trend_score
190089,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190090,stable,2015,LC,Least Concern,NA,NA,LC,0,0,0
190091,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190092,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190093,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190095,stable,2015,LC,Least Concern,NA,NA,LC,0,0,0
190096,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190097,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190099,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190100,stable,2015,LC,Least Concern,NA,NA,LC,0,0,0
190102,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190103,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190104,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190105,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190107,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190109,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190111,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190116,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190117,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190118,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190119,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190121,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190123,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190128,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190129,stable,2015,LC,Least Concern,NA,NA,LC,0,0,0
190130,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190131,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190132,decreasing,2016,LC,Least Concern,NA,NA,LC,0,0,-0.5
190133,stable,2015,LC,Least Concern,NA,NA,LC,0,0,0
190134,increasing,2015,LC,Least Concern,NA,NA,LC,0,0,0.5
190135,stable,2015,LC,Least Concern,NA,NA,LC,0,0,0
190136,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190137,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190138,decreasing,2016,VU,Vulnerable,NA,NA,VU,0.4,0.4,-0.5
190139,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190142,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
19014407,stable,2013,LC,Least Concern,NA,NA,LC,0,0,0
190145,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190146,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190147,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190148,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190149,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190151,stable,2015,LC,Least Concern,NA,NA,LC,0,0,0
190153,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190154,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190155,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190156,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190157,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190158,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190160,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190161,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190163,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190164,stable,2015,LC,Least Concern,NA,NA,LC,0,0,0
190166,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190168,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190169,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190172,unknown,2014,LC,Least Concern,NA,NA,LC,0,0,NA
190173,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190176,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190178,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190180,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190183,stable,2015,LC,Least Concern,NA,NA,LC,0,0,0
190185,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190190,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190192,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190193,unknown,2014,LC,Least Concern,NA,NA,LC,0,0,NA
190195,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190197,stable,2015,LC,Least Concern,NA,NA,LC,0,0,0
190198,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190199,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190200,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190201,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190203,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190204,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190205,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190207,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190208,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190211,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190213,stable,2015,LC,Least Concern,NA,NA,LC,0,0,0
190214,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190217,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190218,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190219,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190220,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190222,stable,2013,LC,Least Concern,NA,NA,LC,0,0,0
190226,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190227,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190228,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190229,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190230,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190231,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190232,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190233,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190237,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190239,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190241,stable,2015,LC,Least Concern,NA,NA,LC,0,0,0
190243,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190244,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190245,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
190246,decreasing,2014,LC,Least Concern,NA,NA,LC,0,0,-0.5
