iucn_sid,years,cat_ts,scores,pop_trend_desc,calc_trend
133560,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
133566,"2008, 2014","LC, LC","0, 0",unknown,NA
133569,"2008, 2014","LC, LC","0, 0",decreasing,NA
133570,"2008, 2014","LC, LC","0, 0",unknown,NA
133576,"2008, 2014","LC, LC","0, 0",decreasing,NA
133581,"2008, 2014","VU, VU","0.4, 0.4",unknown,NA
133582,"2008, 2014","LC, LC","0, 0",unknown,NA
133587,"2008, 2014","LC, LC","0, 0",unknown,NA
133588,"2008, 2014","VU, VU","0.4, 0.4",stable,NA
133593,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
133601,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
133607,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133613,"2008, 2014","LC, LC","0, 0",unknown,NA
133616,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
133633,"2008, 2014","VU, VU","0.4, 0.4",unknown,NA
133634,"2008, 2014","LC, LC","0, 0",decreasing,NA
133635,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
133636,"2008, 2014","LC, LC","0, 0",unknown,NA
133638,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
133640,"2008, 2014","LC, LC","0, 0",unknown,NA
133641,"2008, 2014","LC, LC","0, 0",unknown,NA
133644,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
