iucn_sid,sciname,category,subpop_match,dbf_file
178980,Clinus nematopterus,LC,FALSE,MARINEFISH_PART_1.dbf
178981,Helcogramma obtusirostris,LC,FALSE,COMBTOOTHBLENNIES.dbf
178981,Helcogramma obtusirostris,LC,FALSE,MARINEFISH_PART_3.dbf
178982,Enneapterygius genamaculatus,LC,FALSE,COMBTOOTHBLENNIES.dbf
178982,Enneapterygius genamaculatus,LC,FALSE,MARINEFISH_PART_2.dbf
178983,Cremnochorites capensis,LC,FALSE,COMBTOOTHBLENNIES.dbf
178983,Cremnochorites capensis,LC,FALSE,MARINEFISH_PART_1.dbf
178984,Helcogramma larvata,DD,FALSE,COMBTOOTHBLENNIES.dbf
178984,Helcogramma larvata,DD,FALSE,MARINEFISH_PART_2.dbf
178985,Enneapterygius pallidoserialis,LC,FALSE,COMBTOOTHBLENNIES.dbf
178985,Enneapterygius pallidoserialis,LC,FALSE,MARINEFISH_PART_1.dbf
178986,Enneapterygius rufopileus,LC,FALSE,COMBTOOTHBLENNIES.dbf
178986,Enneapterygius rufopileus,LC,FALSE,MARINEFISH_PART_3.dbf
178987,Enneapterygius altipinnis,LC,FALSE,COMBTOOTHBLENNIES.dbf
178987,Enneapterygius altipinnis,LC,FALSE,MARINEFISH_PART_2.dbf
178988,Notoclinops yaldwyni,LC,FALSE,COMBTOOTHBLENNIES.dbf
178988,Notoclinops yaldwyni,LC,FALSE,MARINEFISH_PART_2.dbf
178989,Helcogramma hudsoni,LC,FALSE,COMBTOOTHBLENNIES.dbf
178989,Helcogramma hudsoni,LC,FALSE,MARINEFISH_PART_1.dbf
178990,Forsterygion flavonigrum,LC,FALSE,COMBTOOTHBLENNIES.dbf
178990,Forsterygion flavonigrum,LC,FALSE,MARINEFISH_PART_3.dbf
178991,Enneapterygius williamsi,LC,FALSE,COMBTOOTHBLENNIES.dbf
178991,Enneapterygius williamsi,LC,FALSE,MARINEFISH_PART_1.dbf
178992,Norfolkia brachylepis,LC,FALSE,COMBTOOTHBLENNIES.dbf
178992,Norfolkia brachylepis,LC,FALSE,MARINEFISH_PART_3.dbf
178993,Cryptichthys jojettae,LC,FALSE,COMBTOOTHBLENNIES.dbf
178993,Cryptichthys jojettae,LC,FALSE,MARINEFISH_PART_3.dbf
178994,Fucomimus mus,LC,FALSE,COMBTOOTHBLENNIES.dbf
178994,Fucomimus mus,LC,FALSE,MARINEFISH_PART_2.dbf
178995,Notoclinops caerulepunctus,LC,FALSE,COMBTOOTHBLENNIES.dbf
178995,Notoclinops caerulepunctus,LC,FALSE,MARINEFISH_PART_3.dbf
178996,Helcogrammoides cunninghami,LC,FALSE,COMBTOOTHBLENNIES.dbf
178996,Helcogrammoides cunninghami,LC,FALSE,MARINEFISH_PART_1.dbf
178997,Clinus cottoides,LC,FALSE,COMBTOOTHBLENNIES.dbf
178997,Clinus cottoides,LC,FALSE,MARINEFISH_PART_2.dbf
178998,Ruanoho decemdigitatus,LC,FALSE,COMBTOOTHBLENNIES.dbf
178998,Ruanoho decemdigitatus,LC,FALSE,MARINEFISH_PART_1.dbf
178999,Clinus latipennis,EN,FALSE,COMBTOOTHBLENNIES.dbf
178999,Clinus latipennis,EN,FALSE,MARINEFISH_PART_2.dbf
179000,Helcogramma novaecaledoniae,LC,FALSE,COMBTOOTHBLENNIES.dbf
179000,Helcogramma novaecaledoniae,LC,FALSE,MARINEFISH_PART_3.dbf
179001,Enneapterygius nanus,LC,FALSE,COMBTOOTHBLENNIES.dbf
179001,Enneapterygius nanus,LC,FALSE,MARINEFISH_PART_2.dbf
179003,Cancelloxus burrelli,LC,FALSE,COMBTOOTHBLENNIES.dbf
179003,Cancelloxus burrelli,LC,FALSE,MARINEFISH_PART_1.dbf
179004,Xenopoclinus kochi,LC,FALSE,COMBTOOTHBLENNIES.dbf
179004,Xenopoclinus kochi,LC,FALSE,MARINEFISH_PART_2.dbf
179005,Ericentrus rubrus,LC,FALSE,COMBTOOTHBLENNIES.dbf
179005,Ericentrus rubrus,LC,FALSE,MARINEFISH_PART_3.dbf
179006,Enneapterygius atrogulare,LC,FALSE,COMBTOOTHBLENNIES.dbf
179006,Enneapterygius atrogulare,LC,FALSE,MARINEFISH_PART_3.dbf
179007,Heteroclinus nasutus,LC,FALSE,COMBTOOTHBLENNIES.dbf
179007,Heteroclinus nasutus,LC,FALSE,MARINEFISH_PART_2.dbf
179008,Ophiclinops hutchinsi,LC,FALSE,COMBTOOTHBLENNIES.dbf
179008,Ophiclinops hutchinsi,LC,FALSE,MARINEFISH_PART_2.dbf
179009,Heteroclinus antinectes,LC,FALSE,COMBTOOTHBLENNIES.dbf
179009,Heteroclinus antinectes,LC,FALSE,MARINEFISH_PART_1.dbf
